(0, 3, 6, [[1.0, 0.7333333333333333], [0.7, 1.0], [0.6833333333333333, 0.8666666666666667]])
(0, 3, 7, [[1.0, 0.6166666666666667], [0.5333333333333333, 1.0], [0.6, 0.8166666666666667]])
(0, 3, 8, [[1.0, 0.7333333333333333], [0.7, 1.0], [0.7166666666666667, 0.8166666666666667]])
(0, 4, 6, [[1.0, 0.7], [0.65, 1.0], [0.6333333333333333, 0.7166666666666667]])
(0, 4, 7, [[1.0, 0.6333333333333333], [0.6166666666666667, 1.0], [0.6166666666666667, 0.6166666666666667]])
(0, 4, 8, [[1.0, 0.6833333333333333], [0.5833333333333334, 1.0], [0.65, 0.6333333333333333]])
(0, 5, 6, [[1.0, 0.6166666666666667], [0.5333333333333333, 1.0], [0.7166666666666667, 0.8666666666666667]])
(0, 5, 7, [[1.0, 0.75], [0.6666666666666666, 1.0], [0.55, 0.7666666666666667]])
(0, 5, 8, [[1.0, 0.8], [0.7333333333333333, 1.0], [0.5833333333333334, 0.9333333333333333]])
(1, 3, 6, [[1.0, 0.7333333333333333], [0.6, 1.0], [0.7666666666666667, 0.7833333333333333]])
(1, 3, 7, [[1.0, 0.7166666666666667], [0.6, 1.0], [0.5166666666666667, 0.7]])
(1, 3, 8, [[1.0, 0.7166666666666667], [0.65, 1.0], [0.6333333333333333, 0.7666666666666667]])
(1, 4, 6, [[1.0, 0.6833333333333333], [0.55, 1.0], [0.6333333333333333, 0.7166666666666667]])
(1, 4, 7, [[1.0, 0.7], [0.7, 1.0], [0.5666666666666667, 0.5166666666666667]])
(1, 4, 8, [[1.0, 0.55], [0.5666666666666667, 1.0], [0.6666666666666666, 0.7333333333333333]])
(1, 5, 6, [[1.0, 0.75], [0.75, 1.0], [0.75, 0.8333333333333334]])
(1, 5, 7, [[1.0, 0.7], [0.5666666666666667, 1.0], [0.6166666666666667, 0.7333333333333333]])
(1, 5, 8, [[1.0, 0.7166666666666667], [0.6666666666666666, 1.0], [0.7333333333333333, 0.8833333333333333]])
(2, 3, 6, [[1.0, 0.6833333333333333], [0.65, 1.0], [0.7333333333333333, 0.7]])
(2, 3, 7, [[1.0, 0.6666666666666666], [0.65, 1.0], [0.6, 0.8833333333333333]])
(2, 3, 8, [[1.0, 0.4666666666666667], [0.5833333333333334, 1.0], [0.6333333333333333, 0.75]])
(2, 4, 6, [[1.0, 0.5833333333333334], [0.5166666666666667, 1.0], [0.7833333333333333, 0.7166666666666667]])
(2, 4, 7, [[1.0, 0.6333333333333333], [0.6, 1.0], [0.55, 0.65]])
(2, 4, 8, [[1.0, 0.6666666666666666], [0.6, 1.0], [0.75, 0.6666666666666666]])
(2, 5, 6, [[1.0, 0.8166666666666667], [0.6833333333333333, 1.0], [0.7666666666666667, 0.8666666666666667]])
(2, 5, 7, [[1.0, 0.5333333333333333], [0.65, 1.0], [0.6333333333333333, 0.8]])
(2, 5, 8, [[1.0, 0.55], [0.6, 1.0], [0.6666666666666666, 0.9166666666666666]])
