(0, 0, 0, [[0.1171875, 0.0546875], [0.1015625, 0.0078125], [0.125, 0.1171875]])
(0, 0, 1, [[0.1171875, 0.1171875], [0.1015625, 0.0390625], [0.2265625, 0.125]])
(0, 0, 2, [[0.1171875, 0.140625], [0.1015625, 0.0], [0.140625, 0.0]])
(0, 1, 0, [[0.125, 0.0546875], [0.0, 0.25], [0.125, 0.171875]])
(0, 1, 1, [[0.125, 0.1171875], [0.0, 0.09375], [0.2265625, 0.125]])
(0, 1, 2, [[0.125, 0.140625], [0.0, 0.09375], [0.140625, 0.015625]])
(0, 2, 0, [[0.015625, 0.0546875], [0.125, 0.203125], [0.125, 0.1328125]])
(0, 2, 1, [[0.015625, 0.1171875], [0.125, 0.125], [0.2265625, 0.0078125]])
(0, 2, 2, [[0.015625, 0.140625], [0.125, 0.125], [0.140625, 0.125]])
(1, 0, 0, [[0.125, 0.125], [0.15625, 0.0078125], [0.1328125, 0.1171875]])
(1, 0, 1, [[0.125, 0.125], [0.15625, 0.0390625], [0.1328125, 0.125]])
(1, 0, 2, [[0.125, 0.125], [0.15625, 0.0], [0.0, 0.0]])
(1, 1, 0, [[0.125, 0.125], [0.03125, 0.25], [0.1328125, 0.171875]])
(1, 1, 1, [[0.125, 0.125], [0.03125, 0.09375], [0.1328125, 0.125]])
(1, 1, 2, [[0.125, 0.125], [0.03125, 0.09375], [0.0, 0.015625]])
(1, 2, 0, [[0.125, 0.125], [0.125, 0.203125], [0.1328125, 0.1328125]])
(1, 2, 1, [[0.125, 0.125], [0.125, 0.125], [0.1328125, 0.0078125]])
(1, 2, 2, [[0.125, 0.125], [0.125, 0.125], [0.0, 0.125]])
(2, 0, 0, [[0.21875, 0.21875], [0.265625, 0.0078125], [0.0703125, 0.1171875]])
(2, 0, 1, [[0.21875, 0.0859375], [0.265625, 0.0390625], [0.0078125, 0.125]])
(2, 0, 2, [[0.21875, 0.34375], [0.265625, 0.0], [0.0, 0.0]])
(2, 1, 0, [[0.1328125, 0.21875], [0.1875, 0.25], [0.0703125, 0.171875]])
(2, 1, 1, [[0.1328125, 0.0859375], [0.1875, 0.09375], [0.0078125, 0.125]])
(2, 1, 2, [[0.1328125, 0.34375], [0.1875, 0.09375], [0.0, 0.015625]])
(2, 2, 0, [[0.0859375, 0.21875], [0.1328125, 0.203125], [0.0703125, 0.1328125]])
(2, 2, 1, [[0.0859375, 0.0859375], [0.1328125, 0.125], [0.0078125, 0.0078125]])
(2, 2, 2, [[0.0859375, 0.34375], [0.1328125, 0.125], [0.0, 0.125]])
(3, 0, 0, [[0.140625, 0.2265625], [0.171875, 0.0078125], [0.15625, 0.1171875]])
(3, 0, 1, [[0.140625, 0.078125], [0.171875, 0.0390625], [0.0234375, 0.125]])
(3, 0, 2, [[0.140625, 0.1171875], [0.171875, 0.0], [0.0078125, 0.0]])
(3, 1, 0, [[0.0390625, 0.2265625], [0.140625, 0.25], [0.15625, 0.171875]])
(3, 1, 1, [[0.0390625, 0.078125], [0.140625, 0.09375], [0.0234375, 0.125]])
(3, 1, 2, [[0.0390625, 0.1171875], [0.140625, 0.09375], [0.0078125, 0.015625]])
(3, 2, 0, [[0.046875, 0.2265625], [0.125, 0.203125], [0.15625, 0.1328125]])
(3, 2, 1, [[0.046875, 0.078125], [0.125, 0.125], [0.0234375, 0.0078125]])
(3, 2, 2, [[0.046875, 0.1171875], [0.125, 0.125], [0.0078125, 0.125]])
(4, 0, 0, [[0.1875, 0.265625], [0.40625, 0.0078125], [0.0, 0.1171875]])
(4, 0, 1, [[0.1875, 0.1640625], [0.40625, 0.0390625], [0.125, 0.125]])
(4, 0, 2, [[0.1875, 0.0078125], [0.40625, 0.0], [0.0390625, 0.0]])
(4, 1, 0, [[0.2109375, 0.265625], [0.375, 0.25], [0.0, 0.171875]])
(4, 1, 1, [[0.2109375, 0.1640625], [0.375, 0.09375], [0.125, 0.125]])
(4, 1, 2, [[0.2109375, 0.0078125], [0.375, 0.09375], [0.0390625, 0.015625]])
(4, 2, 0, [[0.078125, 0.265625], [0.125, 0.203125], [0.0, 0.1328125]])
(4, 2, 1, [[0.078125, 0.1640625], [0.125, 0.125], [0.125, 0.0078125]])
(4, 2, 2, [[0.078125, 0.0078125], [0.125, 0.125], [0.0390625, 0.125]])
(5, 0, 0, [[0.125, 0.171875], [0.0, 0.0078125], [0.25, 0.1171875]])
(5, 0, 1, [[0.125, 0.0078125], [0.0, 0.0390625], [0.125, 0.125]])
(5, 0, 2, [[0.125, 0.125], [0.0, 0.0], [0.1171875, 0.0]])
(5, 1, 0, [[0.15625, 0.171875], [0.2421875, 0.25], [0.25, 0.171875]])
(5, 1, 1, [[0.15625, 0.0078125], [0.2421875, 0.09375], [0.125, 0.125]])
(5, 1, 2, [[0.15625, 0.125], [0.2421875, 0.09375], [0.1171875, 0.015625]])
(5, 2, 0, [[0.2421875, 0.171875], [0.125, 0.203125], [0.25, 0.1328125]])
(5, 2, 1, [[0.2421875, 0.0078125], [0.125, 0.125], [0.125, 0.0078125]])
(5, 2, 2, [[0.2421875, 0.125], [0.125, 0.125], [0.1171875, 0.125]])
(6, 0, 0, [[0.1640625, 0.1171875], [0.0234375, 0.0078125], [0.1796875, 0.1171875]])
(6, 0, 1, [[0.1640625, 0.1328125], [0.0234375, 0.0390625], [0.234375, 0.125]])
(6, 0, 2, [[0.1640625, 0.125], [0.0234375, 0.0], [0.125, 0.0]])
(6, 1, 0, [[0.140625, 0.1171875], [0.25, 0.25], [0.1796875, 0.171875]])
(6, 1, 1, [[0.140625, 0.1328125], [0.25, 0.09375], [0.234375, 0.125]])
(6, 1, 2, [[0.140625, 0.125], [0.25, 0.09375], [0.125, 0.015625]])
(6, 2, 0, [[0.125, 0.1171875], [0.125, 0.203125], [0.1796875, 0.1328125]])
(6, 2, 1, [[0.125, 0.1328125], [0.125, 0.125], [0.234375, 0.0078125]])
(6, 2, 2, [[0.125, 0.125], [0.125, 0.125], [0.125, 0.125]])
(7, 0, 0, [[0.3671875, 0.25], [0.109375, 0.0078125], [0.125, 0.1171875]])
(7, 0, 1, [[0.3671875, 0.1484375], [0.109375, 0.0390625], [0.25, 0.125]])
(7, 0, 2, [[0.3671875, 0.0], [0.109375, 0.0], [0.03125, 0.0]])
(7, 1, 0, [[0.2421875, 0.25], [0.25, 0.25], [0.125, 0.171875]])
(7, 1, 1, [[0.2421875, 0.1484375], [0.25, 0.09375], [0.25, 0.125]])
(7, 1, 2, [[0.2421875, 0.0], [0.25, 0.09375], [0.03125, 0.015625]])
(7, 2, 0, [[0.1015625, 0.25], [0.125, 0.203125], [0.125, 0.1328125]])
(7, 2, 1, [[0.1015625, 0.1484375], [0.125, 0.125], [0.25, 0.0078125]])
(7, 2, 2, [[0.1015625, 0.0], [0.125, 0.125], [0.03125, 0.125]])
